t,<H_sys>,P_1,P_2
716000,1.839960e-02,6.451152e-05,7.613445e-02
718000,1.839885e-02,6.535203e-05,7.637607e-02
720000,1.839810e-02,6.620026e-05,7.661708e-02
722000,1.839736e-02,6.705625e-05,7.685721e-02
724000,1.839662e-02,6.792004e-05,7.709640e-02
726000,1.839588e-02,6.879167e-05,7.733491e-02
728000,1.839514e-02,6.967116e-05,7.757314e-02
730000,1.839440e-02,7.055857e-05,7.781148e-02
732000,1.839366e-02,7.145391e-05,7.805019e-02
734000,1.839292e-02,7.235724e-05,7.828924e-02
736000,1.839217e-02,7.326858e-05,7.852836e-02
738000,1.839143e-02,7.418797e-05,7.876713e-02
740000,1.839069e-02,7.511544e-05,7.900516e-02
742000,1.838995e-02,7.605104e-05,7.924227e-02
744000,1.838921e-02,7.699479e-05,7.947851e-02
746000,1.838847e-02,7.794673e-05,7.971421e-02
748000,1.838774e-02,7.890690e-05,7.994977e-02
750000,1.838700e-02,7.987533e-05,8.018556e-02
752000,1.838627e-02,8.085206e-05,8.042170e-02
754000,1.838553e-02,8.183712e-05,8.065808e-02
756000,1.838480e-02,8.283055e-05,8.089437e-02
758000,1.838407e-02,8.383238e-05,8.113013e-02
760000,1.838334e-02,8.484264e-05,8.136507e-02
762000,1.838261e-02,8.586137e-05,8.159908e-02
764000,1.838188e-02,8.688861e-05,8.183234e-02
766000,1.838116e-02,8.792439e-05,8.206520e-02
768000,1.838043e-02,8.896873e-05,8.229806e-02
770000,1.837970e-02,9.002169e-05,8.253122e-02
772000,1.837896e-02,9.108328e-05,8.276469e-02
774000,1.837823e-02,9.215355e-05,8.299827e-02
776000,1.837750e-02,9.323253e-05,8.323159e-02
778000,1.837677e-02,9.432024e-05,8.346425e-02
780000,1.837604e-02,9.541674e-05,8.369601e-02
782000,1.837532e-02,9.652204e-05,8.392689e-02
784000,1.837461e-02,9.763618e-05,8.415713e-02
786000,1.837389e-02,9.875919e-05,8.438713e-02
788000,1.837318e-02,9.989111e-05,8.461725e-02
790000,1.837246e-02,1.010320e-04,8.484768e-02
792000,1.837174e-02,1.021818e-04,8.507836e-02
794000,1.837102e-02,1.033406e-04,8.530901e-02
796000,1.837029e-02,1.045085e-04,8.553923e-02
798000,1.836957e-02,1.056855e-04,8.576869e-02
800000,1.836885e-02,1.068715e-04,8.599723e-02
802000,1.836813e-02,1.080667e-04,8.622497e-02
804000,1.836742e-02,1.092710e-04,8.645221e-02
